97603,"48,038","55,465","28,557"
97604,"37,028","44,304",12
97620,"26,818","41,758",106
97621,"33,743","40,395",368
97622,"35,736","46,200",519
97623,"41,195","49,776","2,170"
97624,"33,836","40,467","3,004"
97625,"49,289","56,357",150
97626,"45,260","50,695",114
97627,"53,491","57,927",793
97630,"44,303","57,526","5,032"
97632,"49,918","49,099","1,198"
97633,"48,741","55,774","1,348"
97634,"47,500","55,500",174
97635,"85,722","112,106",269
97636,"26,818","41,758",380
97637,"26,818","41,758",71
97638,"26,818","41,758",462
97639,"33,737","40,379",520
97640,"26,818","41,758",112
97641,"26,818","41,758",956
97701,"58,077","73,849","44,673"
97702,"51,199","64,834","27,191"
97707,"43,466","54,079","5,021"
97710,"42,259","53,098",98
97711,"46,156","63,395",80
97720,"38,353","47,192","4,752"
97721,"42,180","53,058",246
97722,"42,180","53,058",77
97730,"41,453","49,789",187
97731,"37,257","44,844",284
97732,"42,180","53,058",120
97733,"37,028","44,304",935
97734,"41,678","50,433","2,141"
97735,"26,818","41,758",131
97736,"42,180","53,058",70
97737,"37,028","44,304",459
97738,"37,451","45,810","1,910"
97739,"39,151","51,759","8,529"
97741,"40,463","53,293","10,477"
97750,"33,403","43,305",399
97751,"41,484","48,671",123
97752,"41,484","48,671",79
97753,"45,094","55,733","1,826"
97754,"28,006","33,400","10,713"
97756,"46,131","55,286","21,729"
97758,"36,244","45,757",109
97759,"61,521","71,915","4,821"
97760,"53,361","66,811","5,869"
97761,"35,502","44,848","3,235"
97801,"44,767","54,092","19,118"
97810,"32,546","38,178",474
97813,"51,307","59,665","1,404"
97814,"40,318","49,109","12,435"
97817,"32,330","45,439",16
97818,"44,927","55,883","3,713"
97819,"40,502","52,213",41
97820,"37,474","49,815","1,167"
97824,"48,278","68,882","1,462"
97825,"37,832","50,120",243
97826,"53,412","63,444","1,112"
97827,"43,945","56,262","2,453"
97828,"36,098","46,818","3,093"
97830,"31,218","40,473",757
97833,"54,992","69,831",915
97834,"30,851","45,057","1,102"
97835,"63,121","74,658",366
97836,"40,568","56,669","2,118"
97837,"55,481","70,616",124
97838,"45,648","55,056","21,677"
97839,"40,568","56,669",497
97840,"30,851","45,057",147
97841,"48,260","68,849",393
97842,"43,750","57,922",169
97843,"39,631","55,360",634
97844,"44,927","55,883","3,796"
97845,"37,677","49,988","2,660"
97846,"42,823","56,634","1,996"
97848,"34,705","47,387",173
97850,"42,948","54,702","16,264"
97856,"32,330","45,439",421
97857,"45,548","51,890",498
97859,"50,920","56,625",119
97862,"40,644","49,144","11,278"
97864,"32,330","45,439",270
97865,"37,748","50,048","1,239"
97867,"44,159","54,437",791
97868,"48,717","54,169","1,989"
97869,"32,330","45,439","1,350"
97870,"30,851","45,057",586
97873,"37,832","50,120",251
97874,"33,403","43,305",362
97875,"53,414","64,377","2,611"
97876,"44,317","56,044",851
97877,"51,504","66,291",227
97880,"48,418","55,119",364
97882,"43,784","50,792","5,960"
97883,"43,517","53,691","2,249"
97884,"55,481","70,616",233
